time,signal,price,SL,TP1,TP2,TP3,TP4
2026-01-03 23:09:18.201333,SELL,4332.35,4344.35,4329.35,4325.35,4322.35,4291.35
2026-01-03 23:24:19.755880,SELL,4332.35,4344.35,4329.35,4325.35,4322.35,4291.35
2026-01-03 23:43:22.055280,SELL,4332.35,4340.844285714285,4329.518571428572,4326.687142857143,4323.855714285715,4318.192857142858
